formula,nombre,tipo_compuesto,descripcion,geometria_molecular,reacciones_tipicas,n_elementos,total_atomos,masa_molar,n_H,n_C,n_N,n_O,n_S,n_P,n_halogen,n_metal,n_nonmetal,hc_ratio,ho_ratio,co_ratio,no_ratio,tiene_OH,tiene_COOH,tiene_CO3,tiene_SO4,tiene_NO3,tiene_NO2,tiene_PO4,tiene_NH,es_diatomica,es_homoatomica,es_acido,es_base,es_sal,es_oxido,es_organica,tiene_carbono,tiene_nitrogeno,tiene_oxigeno,tiene_fosforo,tiene_azufre,tiene_metal,n_tipos_metal,oxido_Fe_tipo,es_Fe_oxido_III,es_Fe_oxido_II_III,es_nitrato,es_nitrito,es_fluoruro,es_cloruro,es_bromuro,es_yoduro,ratio_O_total,ratio_metal_total,es_oxoacido,es_anhidrido,n_enlaces_estimados,tipo_enlace,es_geometria_lineal,n_atomos_3d,n_bonds_3d,spread_3d,max_dist_3d,es_lineal_3d,tiene_coords_3d,bond_ratio_3d,centroide_x,centroide_y,centroide_z
O₂,Oxígeno molecular,Molécula homoatómica,El oxígeno que respiramos. Enlace doble.,Lineal/Cíclica,,1,2,31.998,0,0,0,2,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,1,covalente_apolar,1,2,1,0.36,1.2,0,1,0.5,0.0,0.0,0.0
N₂,Nitrógeno molecular,Molécula homoatómica,78% de la atmósfera. Triple enlace.,Lineal/Cíclica,,1,2,28.014,0,0,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,covalente_apolar,1,2,1,0.3025,1.1,0,1,0.5,0.0,0.0,0.0
Cl₂,Cloro gas,Molécula homoatómica,Gas amarillo-verdoso tóxico.,Lineal/Cíclica,,1,2,70.906,0,0,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,covalente_apolar,1,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
F₂,Flúor gas,Molécula homoatómica,Gas más electronegativo. Muy reactivo.,Lineal/Cíclica,,1,2,37.996,0,0,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,covalente_apolar,1,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
Br₂,Bromo,Molécula homoatómica,Líquido rojo-marrón a temperatura ambiente.,Lineal/Cíclica,,1,2,159.808,0,0,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,covalente_apolar,1,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
I₂,Yodo,Molécula homoatómica,Sólido a temperatura ambiente. Antiséptico.,Lineal/Cíclica,,1,2,253.808,0,0,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,covalente_apolar,1,2,1,0.0,0.0,0,0,0.5,0.0,0.0,0.0
S₈,Azufre,Molécula homoatómica,Sólido amarillo. Anillo de 8 átomos.,Lineal/Cíclica,,1,8,256.48,0,0,0,0,8,0,0,0,8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,7,covalente_apolar,1,8,7,0.0,0.0,0,0,0.875,0.0,0.0,0.0
P₄,Fósforo blanco,Molécula homoatómica,Fósforo blanco. Tetraédrico. Muy inflamable.,Lineal/Cíclica,,1,4,123.896,0,0,0,0,0,4,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,3,covalente_apolar,1,4,3,0.0,0.0,0,0,0.75,0.0,0.0,0.0
H₂O,Agua,Compuesto inorgánico,La molécula de la vida. Solvente universal.,Variable,,2,3,18.015,2,0,0,1,0,0,0,0,3,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.0,0,0,2,covalente_polar_H,0,3,2,0.4583,1.514,0,1,0.6667,0.0,0.0,-0.2737
CO₂,Dióxido de carbono,Óxido,Gas de efecto invernadero. Geometría lineal.,Lineal / Angular,,2,3,44.009,0,1,0,2,0,0,0,0,3,0.0,0.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0.0,0,1,2,covalente_polar,1,3,2,0.8971,2.32,0,1,0.6667,0.0,0.0,0.0
